Alissa	+3 Farming
	The Singing Dagger
	forager fighter
	alissa_sing2

Corine	+ 1 Speed, Defense, Attack
	Icreon
	warrior forager
	corine_train2 corine_meditate

Daia	+3 Luck +64 Magnetism
	Dusked Kunai
	fighter shooter charmer
	daia_meditate daia_train

Flor +1 Foraging +64 Magnetism
	Oberserver's Hatchet
	scared doctor fighter
	flor_read2

Ian	+1 Farming Mining Foraging Crafting Speed +30 MaxStamina +32 Magnetism
	Laborforce
	fighter forager
	ian_clean ian_eat

Jeric	+2 Farming Fishing +1 Foraging
	The Lucky Penny
	fighter forager
	jeric_dance

Jio	+3 Attack Speed
	Occult Blade
	fighter protector shooter
	jio_meditate jio_fight

Kenneth	+5 Crafting
	Battery Powered Battle Hammer
	shooter fighter
	kenneth_onfirerandomly

Maddie	+3 Mining +3 Foraging
	Heartbreaker
	forager fighter
	maddie_sit

Philip	+4 Defense
	Sword of Idols
	fighter doctor
	philip_read philip_sit

Shiro	+3 Luck +60 MaxStamina
	The Unbroken
	fighter protector shooter
	shiro_sit

Ysa	+3 Speed +20 MaxStamina
	Battle Dancer's Fan
	fighter
	ysabelle_sit ysabelle_dance

Kiwi	+5 Speed
	Cute but Deadly Knife
	warrior forager
	f Kiwi 2500
	kiwi_frontflip

Keahi	+2 Digging Mining Crafting +20 MaxStamina
	The Prankster
	forager
	f Pika 1000
	keahi_jump keahi_dance

Trinnie	+3 Farming Foraging +30 MaxStamina
	Princess of Green
	doctor
	f Olga 1000
	trinnie_jump trinnie_dance

June	+2 Luck Attack
	Treble Cleaver
	protector fighter
	june_drink june_read

Sean	+32 MagneticRadius +2 Luck
	Bronze Lance
	fighter
	sean_chill (to add)

Blair	+3 Fishing +1 Luck
	Death's Daughter
	fighter fisherman
	blair_chum

Kiarra	+2 Luck Defense
	Free Lance
	fighter forager
	kiarra_drink

Anton	+2 Defense Mining
	Ark Blade
	fighter protector
	anton_frontdrink

Bryle	+2 Attack +3 Defense
	Guardian Greatsword
	warrior protector

Faye	+2 Speed +1 Foraging Farming
	Fairy Needle
	fighter forager
	faye_fan

Irene	+3 Foraging +40 MaxStamina
	Lovesick
	fighter forager

Paula	+60 MaxStamina
	Military Saber
	fighter doctor

Zayne	+2 Defense +32 MagneticRadius
	Amethyst Lance
	fighter protector
	zayne_call

Lenny	+1 Luck +32 MagneticRadius +20 MaxStamina
	The Wild Whip
	fighter charmer
	lenny_drink lenny_laugh

Yuuma	+1 Farming +40 MaxStamina
	The Silent One
	spiritual
	yuuma_read

Louie	+3 Luck +32 MagneticRadius
	Prideful
	shooter
	louie_read
